,age,weight,bodyActivity,clothLayer,time,nigaThermal,summTemp,wintTemp,thermalComf,tempNow,nigaNoise,outNoise,backgNoise,noiseGenarally,noiseNow,people_Noise,AcousComfort,building_image,nigaAir,ac_control,vent,odorUsually,sleepy,odor,airSpeedNow,nigaLightQua,daylight,BlindOFF,lightControl,luminaireOFF,colorComf,visualComf,lightLevelFeel
44,1,1,2,5,2,1,1,3,0,1,0,0,0,4,4,1,3,4,1,1,2,1,0,1,1,1,0,0,0,0,4,3,3
45,1,2,3,5,2,1,3,1,0,4,1,0,0,2,2,1,2,4,0,0,1,0,0,0,2,1,0,1,1,0,4,4,3
46,1,3,3,5,3,1,3,2,1,3,0,0,0,4,3,1,1,3,1,0,2,0,0,0,2,1,0,1,1,0,3,3,3
47,1,2,3,5,3,1,5,3,0,4,0,0,0,4,4,1,3,2,0,0,4,0,0,0,2,1,0,1,1,0,5,4,2
48,1,3,3,5,5,1,3,1,1,3,0,0,0,3,3,0,2,1,0,0,2,0,0,0,2,1,0,1,1,0,3,3,3
49,1,1,1,1,2,1,1,3,0,2,0,0,0,4,3,1,4,4,0,0,2,0,0,0,2,1,0,1,1,0,4,3,5
50,2,2,3,1,5,1,3,3,1,3,0,0,0,4,3,1,3,2,0,0,3,0,0,0,1,0,0,1,1,0,4,4,4
51,2,3,3,5,3,1,3,3,1,2,0,0,0,3,4,1,1,2,0,0,3,0,0,0,2,1,0,1,1,0,3,3,3
52,1,3,1,5,5,0,2,2,1,3,0,0,0,3,4,1,2,5,0,0,1,0,0,0,1,1,0,1,1,0,4,5,4
53,2,3,3,2,4,0,2,3,0,2,1,0,1,3,4,1,3,3,0,0,2,0,0,0,2,0,1,0,1,0,5,5,3
54,2,3,1,5,3,0,3,2,1,3,1,1,0,2,2,1,2,3,1,0,3,1,0,0,1,0,0,1,1,0,5,5,3
55,2,4,3,5,2,0,3,3,1,3,1,0,0,3,3,1,4,1,0,0,2,1,0,0,2,0,0,1,1,0,4,3,5
56,1,3,4,1,5,1,4,4,0,3,0,0,0,3,4,1,3,1,0,0,2,0,0,0,1,0,0,0,1,0,4,4,4
57,1,3,1,1,5,1,1,1,0,1,1,0,0,4,3,0,1,4,0,0,3,0,0,0,1,1,0,1,1,0,1,1,4
58,1,2,2,2,4,1,1,3,0,3,1,0,0,2,2,1,3,4,1,0,2,0,1,1,2,0,0,1,0,0,2,2,3
59,1,4,3,1,4,1,4,4,1,2,0,0,0,4,5,1,4,3,1,1,5,1,1,1,2,0,0,1,1,0,3,3,3
60,1,3,1,2,3,0,4,3,0,4,1,0,1,2,3,0,5,2,1,0,4,0,0,0,2,0,0,1,1,0,3,3,3
61,3,5,4,1,3,0,3,3,1,3,0,0,0,4,4,1,2,3,0,0,2,0,0,0,1,0,1,0,1,0,5,5,3
62,1,1,1,5,5,0,4,1,0,1,1,0,1,4,4,0,1,5,1,1,4,1,1,0,1,1,0,0,1,0,1,1,4
63,2,3,1,5,5,0,3,2,0,2,1,0,1,3,4,1,2,2,0,0,3,0,0,0,1,0,1,1,1,0,4,5,4
64,1,4,1,5,3,0,3,3,0,3,0,0,0,3,3,1,3,4,0,1,4,0,0,0,2,1,0,0,0,0,5,5,4
65,1,2,1,5,2,1,3,3,0,2,1,0,0,3,3,1,4,1,1,0,4,1,1,0,2,0,0,1,1,0,4,3,5
66,2,5,3,1,5,0,3,3,0,2,0,0,0,3,2,1,3,2,1,1,5,0,0,0,1,0,0,0,0,0,5,5,5
67,2,5,1,2,4,0,3,3,0,2,0,0,0,3,2,1,3,1,0,1,4,1,0,0,2,0,1,0,1,0,5,5,3
68,1,3,1,5,3,1,3,2,1,4,0,0,0,4,2,1,3,3,1,0,4,0,0,0,1,1,1,1,1,0,4,4,3
69,3,4,1,2,3,0,1,2,1,2,1,0,0,4,2,1,4,1,1,0,2,0,0,0,1,0,0,1,0,0,4,5,1
