,lightLevel,lightColor,peaople_sound,o2,co2,lpg,alcohol,methane,co,h2,nitric,ch2o,voc,Temp,Humad,Rtemp,air_speed
41,472.115,7048,23.95,20.49,714.474,3.979,0.0045,0.3088,5.2535,53.4817,0.2631,0.5108,4.335,23.5412,52.95,24,129
42,449.44,7153,25.45,20.38,679.8236,3.8361,0.0046,0.3135,5.2751,53.4817,0.2508,0.5108,4.0099,24.4934,52.95,23,139
43,457.64,7016,25.05,20.47,671.5407,3.8597,0.0045,0.3019,5.3185,53.6195,0.1911,0.4547,3.3736,24.5386,52.95,23,133
44,189.61,5456,25.6,20.49,658.722,3.8479,0.0044,0.3042,5.4057,53.5506,0.2823,0.4547,3.6894,24.4301,52.95,22,131
45,467.725,7011,30.05,20.47,723.5236,3.9071,0.0044,0.2973,5.3402,53.275,0.239,0.4822,4.0099,24.2555,52.95,23,136
46,467.615,7013,41.1,20.5,611.5214,3.9071,0.0044,0.2882,5.3185,53.4817,0.2449,0.4547,4.6644,24.109,52.95,24,126
47,455.96,6993,32.15,20.42,650.8607,3.8597,0.0043,0.286,5.2751,53.344,0.2631,0.4822,4.0099,24.6111,52.85,20,133
48,467.895,6972,41.0,20.49,705.5534,3.8715,0.0043,0.2838,5.2968,53.2061,0.1862,0.5108,4.0099,23.5418,52.85,23,129
49,467.74,6991,62.9,20.48,647.2928,3.8597,0.0042,0.2882,5.3185,52.7235,0.2449,0.5108,3.3736,24.5376,52.85,22,126
50,467.86,6987,50.75,20.45,682.9958,3.8479,0.0042,0.2882,5.2751,52.7235,0.1723,0.4822,3.0629,23.3385,52.85,22,127
51,467.3,6825,40.6,20.44,686.7799,3.8244,0.0041,0.295,5.3185,52.5855,0.2276,0.4822,3.0629,24.5399,52.85,22,136
52,456.495,6991,23.55,20.5,699.9206,3.801,0.0042,0.2794,5.2103,52.3785,0.201,0.4822,2.458,24.5218,52.85,22,125
53,457.52,6984,24.9,20.5,697.54,3.8597,0.0041,0.2838,5.1246,52.3785,0.196,0.4028,4.0099,23.9243,52.85,21,133
54,468.08,6984,24.25,20.46,698.9978,3.8361,0.0041,0.286,5.1888,52.7925,0.2114,0.4547,3.3736,23.5057,52.85,21,133
55,467.95,6988,25.4,20.51,704.5414,3.6626,0.0041,0.2838,5.1459,52.7235,0.2569,0.4547,4.0099,23.7274,52.85,22,140
56,467.435,6992,25.65,20.47,704.8237,3.6286,0.0041,0.2794,4.9759,52.7235,0.2449,0.4822,4.0099,23.6195,52.85,23,140
57,470.81,7055,24.35,20.44,677.4096,3.5389,0.004,0.275,5.0606,52.6545,0.2508,0.3784,3.6894,24.7018,52.85,22,129
58,469.63,7088,24.8,20.43,688.7871,3.5612,0.0041,0.2996,5.1032,52.4475,0.2823,0.4028,4.0099,23.8584,52.85,23,138
59,439.965,7103,23.6,20.46,653.4909,3.8127,0.0041,1.0522,5.7833,52.5165,0.5522,0.4822,4.0099,23.9914,52.85,23,137
60,437.955,7120,31.0,20.41,632.955,3.8715,0.0041,1.3546,5.9878,51.9642,0.431,0.5108,4.6644,24.3209,52.85,22,132
61,470.45,7038,41.85,20.43,645.3621,3.9549,0.004,1.3027,6.1259,52.0333,0.3956,0.5108,4.0099,23.8202,52.85,22,131
62,470.465,7045,33.55,20.42,668.1383,3.8479,0.004,1.0522,6.0797,51.8951,0.3467,0.5108,3.3736,23.9059,52.85,22,131
63,470.52,7054,80.4,20.51,643.4572,3.943,0.004,1.0975,5.9421,52.1023,0.4042,0.5712,4.335,24.4562,52.85,22,125
64,470.865,7013,57.35,20.47,653.0099,3.967,0.0038,1.1232,5.8965,51.5495,0.4219,0.6031,4.0099,24.0527,52.85,23,128
65,470.91,6984,45.6,20.49,691.4873,3.9549,0.0038,1.0374,5.8511,51.6878,0.4042,0.5108,3.3736,24.6214,52.85,23,129
66,470.935,6976,37.85,20.52,677.9746,3.9071,0.0039,0.9143,5.8284,50.9961,0.3787,0.4822,3.3736,25.1749,52.85,22,125
67,471.16,6978,24.65,20.51,692.9703,3.8479,0.0039,0.822,5.7833,51.4804,0.3097,0.5108,3.3736,24.252,52.85,20,130
