Location ,Time,Decimal,Illumination level (Lux),Color Tempreture,Average Noise level,O2 Concentration (%Vol),CO2 at any moment (PPM),LPG concen (ppm),Alcohole Concen (ppm),Methan Concen (ppm),CO concen (ppm),Hydrogyn Concen (ppm),Netric tVOC level (ppm),VOC Formerdahied Level (ppm),Different VOC (CO) Level (ppm),Room Temp ( C ),Room reative humadity %,Radiant Temp 1 (C),Wind Speed (mm/s),,Occupation ,Age,Height,Weight ,Body Activity,Clothing Layer,How long do you spend in the building during the day ,Does the temperature in this part of the building have a negative effect on your work performance? ,"How would you describe the summer indoor air temperature ""most time feeling""?","How would you describe the winter indoor air temperature ""most time feeling""",Do you feel comfortable under the current temperature ? ,How you describe the current temperature in this room?,"Does the distraction from noise in this part of building have a negative effect on your work performance ""most time feeling""?",Is there significant distraction from noise outside (in this moment) ? ,Is there significant distraction from background noise (machine and undefined noise sources)? ,"How would you describe the noise in building generally ""most time feeling""?",How would describe noise at this moment?,Comfort Under current noise Level,Distraction from people noise,"Does the quality of air in this part of building have a negative effect on your work performance ""most time feeling""?",Do you have control over air condition system ?,"How would you describe the ventilation and air quality of building  ""most time feeling""?","Do you smell odor or unusual smell in your work-space ""most time feeling""?","Do you feel sleepy or headache when you get to your work-space ""most time feeling""?","Right now, do you smell unusual smell?",Does the quality of light (color and light level) in this part of building have a negative effect on your work performance ?,Is there availability of natural light?,Are there blinds or shutters blocking the natural light ? ,Do you have control over artificial lightning ?,Is there any luminare is OFF at this moment?,Air speed at this moment,Ventilation and Air smell,Comfortable under light colour ,Comfort under the current light level,Describe the current light level ,Is there any luminare is OFF at this moment?,How accessible is from the parking lot to the main door of the college?,How is easy to go from one floor to another?,How easy is the horizontal circulation?,How easy is to get out of the building in emergency situation?,Do you know the route to the nearest emergency door?,How would you rate the level of cleanliness of the building?,How clean is your work-space?
STU301,85,16.2803,463.8745455,7179.727273,37.06363654,20.46272727,706.4512581,3.639013095,0.003676791,0.572860904,5.441749486,51.74422004,0.290864837,0.433819736,3.895529726,24.06695363,52.71363636,22.90909091,133.6363636,,Occ01,Age01,Hight03,Wieg02,Working,Dress_364,Period_04,Yes,3,1,No,4,Yes,No,Maybe,2,2,5,Yes,No,No,1,No,Maybe,no,Yes,no,Yes,Yes,No,LittleWindy,4,5,5,3,No,3,4,1,3,Yes,1,1
STU301,95,16.4542,467.19,7185.090909,33.64545392,20.48272727,726.7154025,3.457970338,0.003551987,0.461750386,5.183092984,51.5746075,0.271567934,0.394024359,3.806776372,23.88414668,52.58636364,22.78787879,133.5454545,,Occ01,Age01,Hight03,Wieg03,Working,Dress_364,Period_04,Yes,3,2,Yes,3,No,No,Maybe,4,3,2,Yes,Yes,No,2,No,No,no,Yes,no,Yes,Yes,No,Negligable,4,4,4,3,No,3,2,4,5,Yes,3,1
STU301,105,16.6283,172.1240909,5876.545455,34.11363678,20.47909091,740.0363975,3.346379128,0.003389381,0.415012251,5.104060997,50.81322375,0.259172563,0.37243704,3.633714177,24.48049658,52.47727273,23.6969697,132.2727273,,Occ01,Age01,Hight04,Wieg02,Working,Dress_213,Period_03,Yes,5,3,No,4,No,No,No,4,4,2,Maybe,No,No,4,No,No,no,Yes,no,Yes,Yes,No,LittleWindy,3,5,5,5,No,5,4,2,2,Yes,1,3
STU301,115,16.8022,5.538181818,5138,38.99999969,20.47090909,745.2799148,3.331322887,0.003272125,0.392420572,5.020195744,51.09038544,0.240571343,0.383366173,3.578144377,24.22671035,52.77454545,23.12121212,132.3636364,,Occ01,Age01,Hight04,Wieg03,Working,Dress_364,Period_03,Yes,3,1,Yes,3,No,No,No,3,3,2,Yes,No,No,2,No,Maybe,no,Yes,no,Yes,Yes,No,Negligable,2,4,3,3,Yes,2,5,3,4,Yes,1,3
STU301,125,16.9761,4.585909091,4882.363636,28.63181818,20.44363636,758.6761123,3.274686358,0.003187578,0.364195258,4.94353988,51.2791214,0.255772168,0.376786579,3.83635237,24.0660261,53.52272727,22.87878788,130.6363636,,Occ03,Age02,Hight04,Wieg02,Working,Dress_192,Period_05,Yes,3,3,Yes,3,No,No,No,4,3,2,Yes,No,No,3,No,No,no,No,no,Yes,Yes,No,Negligable,3,1,1,4,No,3,2,4,3,Maybe,2,2
STU301,135,17.15,4.450909091,4684.181818,33.10909091,20.45363636,774.9924848,3.29402993,0.003107286,0.35492767,4.938002933,51.29793965,0.26370261,0.364526521,3.493458574,24.22218059,54.33181818,23.45454545,131.9090909,,Occ03,Age02,Hight03,Wieg03,Working,Dress_364,Period_05,Yes,3,3,Yes,2,No,No,No,3,4,3,Yes,No,No,3,No,No,no,Yes,no,Yes,Yes,No,Negligable,1,5,5,3,No,2,4,2,4,Yes,4,1
STU301,145,17.3239,2.465,4485.363636,39.39545513,20.43090909,781.6619142,3.265862335,0.003028005,0.335852675,4.918681318,51.30422384,0.253743549,0.372167804,3.324779337,23.8784318,54.76818182,22.66666667,133.7272727,,Occ01,Age01,Hight03,Wieg01,Walking,Dress_192,Period_05,Yes,1,3,No,2,No,No,No,4,3,4,Yes,No,No,2,No,No,no,Yes,no,Yes,Yes,No,LittleWindy,3,4,4,3,Yes,1,5,3,1,Yes,1,4
STU301,155,17.4978,1.886363636,4278.272727,32.97272717,20.42,803.6603006,3.179901297,0.002983442,0.317075452,4.797180046,51.34204587,0.261955729,0.340804098,3.634228555,23.80330789,54.99545455,22.60606061,133.3636364,,Occ02,Age03,Hight05,Wieg05,Stall,Dress_194,Period_05,No,3,3,Yes,3,Maybe,No,No,4,4,4,Maybe,No,No,2,No,No,no,No,yes,No,Yes,No,Negligable,1,5,4,3,No,4,1,3,5,Yes,2,2
STU301,165,17.6717,1.909090909,4117,32.92272693,20.42909091,804.8355263,3.182025714,0.002908602,0.316421769,4.746516705,51.21615947,0.252271645,0.351375998,3.405520114,23.77045157,55.25,22.78787879,132.4545455,,Occ01,Age01,Hight03,Wieg01,Walking,Dress_364,Period_05,No,4,1,Maybe,1,Yes,No,Yes,4,4,4,Yes,Yes,Yes,4,Yes,Yes,maybe,Yes,may be,No,Yes,No,Negligable,4,4,4,3,No,2,1,5,3,Yes,1,1
STU301,175,17.8458,219.5809091,5842.363636,38.65909049,20.41363636,817.4736731,3.160263994,0.002847944,0.298787295,4.738857616,51.15963468,0.253873539,0.335702946,3.379668994,23.73747067,55.34090909,22.75757576,132,,Occ01,Age01,Hight04,Wieg03,Walking,Dress_213,Period_03,No,2,2,Yes,3,No,No,No,3,4,4,Yes,No,No,1,No,No,no,Yes,no,Yes,Yes,No,LittleWindy,3,3,3,3,Yes,5,3,2,4,Yes,5,3
STU301,185,18.0197,459.2968182,7376.181818,39.14090899,20.39636364,814.85041,3.089890502,0.002774685,0.282668567,4.72220022,50.73775517,0.261074559,0.305972758,3.546699372,23.86528197,55.37727273,22.87878788,132.8181818,,Occ01,Age01,Hight04,Wieg03,Stall,Dress_192,Period_02,Yes,4,4,No,3,No,No,No,3,4,5,Yes,No,No,2,No,Maybe,no,No,may be,No,Yes,No,LittleWindy,4,4,3,5,No,1,1,4,3,Yes,5,5
STU301,195,18.1936,457.3518182,7341.818182,30.48181794,20.39727273,770.0514748,3.082497033,0.002757967,0.293074307,4.589897719,50.87639861,0.267519424,0.339281468,3.777222438,23.8403548,55.22727273,22.6969697,129.5454545,,Occ02,Age02,Hight04,Wieg05,Working,Dress_207,Period_04,Yes,1,3,Yes,4,Maybe,No,No,3,2,5,Yes,Yes,Maybe,4,No,Maybe,no,No,no,Yes,Yes,Yes,LittleWindy,4,5,5,4,No,4,5,3,5,Maybe,2,1
STU301,205,18.3675,468.2263636,7331.818182,35.79999993,20.38363636,756.2012577,3.093648334,0.00268521,0.299232158,4.562134266,51.00856295,0.262555947,0.350017103,3.462908203,24.2070847,55.02727273,23.42424242,132.7272727,,Occ01,Age01,Hight03,Wieg02,Walking,Dress_206,Period_03,Yes,1,3,Yes,3,Yes,No,No,5,5,4,Maybe,Yes,Yes,2,No,Maybe,yes,Yes,may be,Maybe,Yes,Yes,Negligable,5,5,5,5,No,2,1,1,1,Yes,1,1
STU301,215,18.5414,467.4095455,7335.272727,34.9545458,20.39,745.733463,3.070300952,0.002636096,0.284110637,4.55277625,50.81959915,0.259337256,0.325057014,3.347672028,24.10846261,54.9,23.36363636,131.9090909,,Occ02,Age02,Hight04,Wieg02,Stall,Dress_207,Period_04,No,3,3,Maybe,3,No,Yes,Yes,3,3,2,Yes,No,Yes,2,Maybe,No,no,No,may be,No,Yes,Yes,LittleWindy,3,2,2,3,No,2,2,2,1,Yes,1,2
STU301,225,18.7153,467.4672727,7311.818182,29.75454545,20.39909091,735.7237797,3.016176172,0.002597071,0.276449356,4.530713645,50.72524158,0.278518398,0.323096154,3.691562262,24.18462473,54.67272727,23.33333333,133.2727273,,Occ02,Age02,Hight04,Wieg04,Stall,Dress_364,Period_03,No,2,3,No,2,No,No,No,2,3,3,Yes,No,No,3,No,Yes,no,No,no,Maybe,Yes,Maybe,Negligable,4,4,5,2,No,2,2,3,2,Yes,1,2
STU301,235,18.8892,467.6504545,7307.181818,35.10909087,20.39363636,712.5496725,3.02686348,0.002513244,0.273062316,4.4155726,50.80710498,0.254357108,0.349156373,3.239476334,24.09533364,54.69090909,23.45454545,133.5454545,,Occ02,Age02,Hight05,Wieg05,ClimbingStairs,Dress_150,Period_04,No,4,3,No,4,No,No,Yes,2,4,1,Yes,No,Yes,3,No,No,no,No,no,No,Yes,Yes,Negligable,4,3,4,3,No,2,2,3,2,Maybe,1,1
STU301,245,19.0633,467.8759091,7314.454545,39.05000056,20.40272727,700.9810648,3.035948064,0.002490859,0.272564728,4.446312211,50.97711771,0.243989048,0.357242888,3.436045127,24.14013604,54.71818182,23.24242424,131.2727273,,Occ01,Age01,Hight03,Wieg02,Walking,Dress_364,Period_03,No,1,2,No,2,Yes,No,Yes,4,4,2,Yes,Yes,No,5,Yes,Yes,no,No,may be,Yes,Yes,No,Negligable,4,3,4,3,No,2,4,4,5,Yes,2,1
STU301,255,19.2372,468.0240909,7307.727273,31.83636343,20.40181818,685.2402564,3.025805174,0.002468526,0.273302503,4.379049865,51.17850425,0.272113094,0.361418144,3.434201479,24.21667439,54.34545455,23.39393939,134.1818182,,Occ02,Age03,Hight03,Wieg04,Walking,Dress_150,Period_02,Yes,3,3,Yes,3,No,No,No,5,4,3,Yes,No,No,3,No,No,no,No,yes,No,Yes,No,LittleWindy,3,2,2,3,No,1,1,3,5,Yes,1,3
STU301,265,19.4111,468.0927273,7307.909091,39.00000014,20.40545455,678.1899192,3.0087344,0.002414561,0.264479973,4.353907802,50.84485418,0.238662707,0.347283452,3.491567503,23.98391198,54.2,23.03030303,132.3636364,,Occ02,Age03,Hight03,Wieg04,Walking,Dress_150,Period_02,Yes,3,3,Yes,3,No,No,No,5,4,3,No,No,No,3,No,No,maybe,No,yes,No,Yes,No,Negligable,4,4,5,4,No,3,5,2,3,Yes,1,1
STU301,275,19.585,468.1268182,7311.363636,38.72272713,20.42636364,659.8137759,3.022302194,0.002383149,0.264717893,4.388072794,50.93304443,0.24007918,0.363905291,3.406360366,24.10830794,54.17272727,23.57575758,132.0909091,,Occ01,Age01,Hight04,Wieg02,Running,Dress_194,Period_05,No,3,4,No,5,No,No,Maybe,5,4,3,Yes,Maybe,No,3,No,Yes,no,Maybe,no,No,Yes,Maybe,Negligable,3,4,5,3,No,3,5,2,3,Yes,1,1
STU301,285,19.7589,468.0754545,7311.818182,32.02727269,20.42909091,650.412794,2.988832704,0.002383099,0.26089243,4.31042034,51.10930217,0.236379481,0.355461491,3.575866092,24.26604469,54.1,23.6969697,130.7272727,,Occ01,Age01,Hight03,Wieg01,Working,Dress_220,Period_04,Maybe,3,3,Maybe,3,Maybe,Yes,Yes,2,5,2,Yes,Maybe,Maybe,3,Maybe,Maybe,no,Maybe,may be,Maybe,Yes,Maybe,Negligable,4,4,5,2,No,4,4,4,5,Maybe,5,5
STU301,295,19.9328,468.1431818,7314.181818,36.30000011,20.40545455,626.0848783,3.007786543,0.002326677,0.260442441,4.31757047,50.97706535,0.2486422,0.365769395,3.349515677,24.20283067,54.1,23.48484848,131.1818182,,Occ01,Age01,Hight05,Wieg03,Working,Dress_78,Period_04,No,3,3,No,2,No,Yes,No,3,4,3,Yes,Yes,Yes,3,No,Yes,no,Maybe,may be,Maybe,Yes,No,LittleWindy,4,4,4,3,No,3,5,4,3,Yes,3,3
STU301,305,20.1067,468.1568182,7311,39.80454518,20.40909091,618.6314427,3.010449284,0.002298827,0.257960723,4.33014692,51.06519248,0.255410408,0.351372472,3.178772645,24.2497402,54.1,23.51515152,133.9090909,,Occ01,Age01,Hight03,Wieg02,Sleeping,Dress_364,Period_03,Maybe,4,2,No,4,Maybe,No,Yes,4,3,4,No,Maybe,Maybe,3,Maybe,No,no,Yes,yes,Maybe,Yes,Yes,LittleWindy,4,4,4,5,No,4,3,4,2,No,2,2
STU301,315,20.2808,468.0904545,7315,27.3636365,20.41636364,630.8443219,2.979795044,0.002292558,0.255510148,4.28531391,51.11557597,0.241035678,0.365945394,3.435150493,24.30566992,54.1,23.24242424,131.6363636,,Occ01,Age01,Hight03,Wieg02,ClimbingStairs,Dress_215,Period_03,No,3,2,Yes,2,Maybe,Maybe,No,2,2,3,Yes,Maybe,Yes,2,No,Yes,no,No,may be,Yes,Yes,Yes,LittleWindy,3,3,3,3,Yes,5,5,4,4,Maybe,2,4
STU301,325,20.4547,468.2886364,7314.272727,35.23181815,20.41181818,647.4540939,3.004883116,0.002255465,0.262585972,4.301351244,51.00226073,0.244317425,0.377231812,3.432817828,24.25561903,54.1,23.87878788,132.7272727,,Occ01,Age01,Hight04,Wieg05,Working,Dress_364,Period_05,No,3,3,Yes,3,Maybe,No,No,3,3,4,No,No,Yes,2,No,Yes,maybe,Maybe,no,Maybe,No,No,Negligable,4,5,5,3,No,3,3,4,4,No,3,3
STU301,335,20.6286,468.8895455,7311,39.38181766,20.39181818,651.4249006,2.973787,0.002252423,0.257574606,4.299527992,51.18474995,0.25040993,0.394564594,3.637354049,24.30808121,54.1,23.60606061,133.5454545,,Occ01,Age01,Hight05,Wieg06,Working,Dress_94,Period_03,Yes,5,3,No,5,No,Yes,No,4,4,3,Yes,Yes,Maybe,3,No,No,no,No,no,Yes,No,Yes,LittleWindy,4,5,5,4,No,3,3,2,4,Yes,3,3
STU301,345,20.8025,468.8409091,7310.454545,29.39999993,20.42909091,645.1014216,2.962793541,0.002203316,0.260436971,4.265444799,51.15324679,0.246482478,0.367725026,3.379668994,24.41086789,54.1,23.51515152,134.0909091,,Occ01,Age01,Hight03,Wieg01,Walking,Dress_365,Period_03,Maybe,3,3,No,2,Maybe,No,No,4,5,3,Yes,Maybe,No,3,Yes,Yes,no,Yes,yes,Maybe,Yes,Yes,LittleWindy,1,1,2,3,Yes,5,5,5,5,Yes,1,2
STU301,355,20.9764,468.9140909,7312.545455,37.34545465,20.44,657.354294,2.999455695,0.00217584,0.254156533,4.288731835,51.23503356,0.255410282,0.376431058,3.379668994,24.141884,54.1,23.18181818,132.6363636,,Occ01,Age01,Hight04,Wieg01,Working,Dress_220,Period_02,Yes,1,1,No,1,No,No,No,5,5,3,Yes,No,No,2,No,Maybe,no,No,may be,Yes,Yes,No,Negligable,3,1,1,4,No,3,5,2,5,Yes,4,4
