Location ,Time,Decimal,Illumination level (Lux),Color Tempreture,Average Noise level,O2 Concentration (%Vol),CO2 at any moment (PPM),LPG concen (ppm),Alcohole Concen (ppm),Methan Concen (ppm),CO concen (ppm),Hydrogyn Concen (ppm),Netric tVOC level (ppm),VOC Formerdahied Level (ppm),Different VOC (CO) Level (ppm),Room Temp ( C ),Room reative humadity %,Radiant Temp 1 (C),Wind Speed (mm/s),,Occupation ,Age,Height,Weight ,Body Activity,Clothing Layer,How long do you spend in the building during the day ,Does the temperature in this part of the building have a negative effect on your work performance? ,"How would you describe the summer indoor air temperature ""most time feeling""?","How would you describe the winter indoor air temperature ""most time feeling""",Do you feel comfortable under the current temperature ? ,How you describe the current temperature in this room?,"Does the distraction from noise in this part of building have a negative effect on your work performance ""most time feeling""?",Is there significant distraction from noise outside (in this moment) ? ,Is there significant distraction from background noise (machine and undefined noise sources)? ,"How would you describe the noise in building generally ""most time feeling""?",How would describe noise at this moment?,Comfort Under current noise Level,Distraction from people noise,"Does the quality of air in this part of building have a negative effect on your work performance ""most time feeling""?",Do you have control over air condition system ?,"How would you describe the ventilation and air quality of building  ""most time feeling""?","Do you smell odor or unusual smell in your work-space ""most time feeling""?","Do you feel sleepy or headache when you get to your work-space ""most time feeling""?","Right now, do you smell unusual smell?",Does the quality of light (color and light level) in this part of building have a negative effect on your work performance ?,Is there availability of natural light?,Are there blinds or shutters blocking the natural light ? ,Do you have control over artificial lightning ?,Is there any luminare is OFF at this moment?,Air speed at this moment,Ventilation and Air smell,Comfortable under light colour ,Comfort under the current light level,Describe the current light level ,Is there any luminare is OFF at this moment?,How accessible is from the parking lot to the main door of the college?,How is easy to go from one floor to another?,How easy is the horizontal circulation?,How easy is to get out of the building in emergency situation?,Do you know the route to the nearest emergency door?,How would you rate the level of cleanliness of the building?,How clean is your work-space?
STU301,365,21.1503,468.9736364,7315,38.76818213,20.44545455,667.9039856,2.948635271,0.002175892,0.251212575,4.252907883,51.37343563,0.250195521,0.378923447,3.292591247,24.11214346,54.1,22.93939394,132.2727273,,Occ01,Age01,Hight05,Wieg02,Running,Dress_192,Period_04,Yes,3,2,Maybe,1,No,Maybe,Yes,3,1,3,Yes,No,Yes,3,Maybe,No,no,Maybe,may be,No,Yes,No,LittleWindy,5,3,3,5,No,1,3,2,4,Maybe,1,4
STU301,375,21.3242,469.4404545,7312.454545,28.50909122,20.50181818,682.812902,2.950251714,0.002145716,0.25605588,4.236831405,51.19099496,0.235012491,0.368351546,3.380349138,24.0209175,54.1,23.18181818,130.5454545,,Occ01,Age01,Hight05,Wieg02,Working,Dress_192,Period_03,Yes,2,3,No,2,No,No,No,4,4,3,No,No,No,2,No,Yes,no,Yes,may be,Yes,Yes,Yes,Negligable,1,5,5,3,No,2,5,3,3,Yes,4,3
STU301,385,21.4983,469.3186364,7310.181818,40.10454531,20.41363636,670.8885766,2.984105509,0.002130424,0.252668986,4.263567968,51.24760437,0.230869691,0.389671343,3.404165485,24.26062811,54.1,23.12121212,131.6363636,,Occ01,Age01,Hight03,Wieg03,Working,Dress_364,Period_04,Yes,2,4,No,2,No,Yes,Yes,3,4,4,Yes,No,Maybe,2,No,Yes,no,Yes,no,No,No,Yes,LittleWindy,5,3,3,5,No,3,4,3,3,Yes,1,1
STU301,395,21.6722,468.9609091,7311,36.77272734,20.38181818,668.8364842,2.927232655,0.002103376,0.245764047,4.213533618,51.52432182,0.227018384,0.374749904,3.405637438,24.25835922,54.1,23.3030303,133.6363636,,Occ02,Age02,Hight04,Wieg04,Working,Dress_364,Period_04,No,2,3,No,2,No,No,No,2,2,2,Yes,No,Yes,2,No,No,no,No,no,No,Yes,No,LittleWindy,4,4,4,5,No,3,4,2,5,Yes,2,2
STU301,405,21.8461,468.9613636,7313.363636,30.79090864,20.43545455,676.0386772,2.929157153,0.002094354,0.249097783,4.204620795,51.480312,0.24826187,0.385318327,3.404600122,24.32612768,54.09090909,23.63636364,130.1818182,,Occ01,Age01,Hight05,Wieg05,Stall,Dress_220,Period_03,No,1,4,No,2,No,No,Yes,3,5,2,Yes,No,No,4,No,Yes,no,Yes,no,Maybe,Yes,Yes,Negligable,2,4,5,1,No,2,3,2,3,Yes,2,2
STU301,415,22.02,469.0190909,7317.090909,38.83181808,20.37272727,654.6492336,2.945628929,0.002079352,0.24613543,4.24382756,51.44254615,0.243908503,0.383360984,3.377327767,23.98231618,54.1,23.24242424,131.6363636,,Occ02,Age02,Hight04,Wieg05,Walking,Dress_220,Period_04,No,3,3,2,2,No,No,No,3,2,3,Yes,No,Yes,2,Yes,No,no,No,yes,No,Yes,Yes,LittleWindy,4,5,5,3,No,3,4,2,4,Yes,1,1
STU301,425,22.1939,468.8618182,7315.818182,32.23636395,20.39636364,626.9441695,2.897899185,0.002076414,0.245767645,4.201081753,51.53691587,0.270150865,0.37963792,3.518478003,23.72698515,54.19090909,22.63636364,134.0909091,,Occ02,Age01,Hight04,Wieg03,Walking,Dress_364,Period_03,Yes,3,1,4,4,Yes,No,No,2,2,3,Yes,No,No,1,No,No,no,Yes,yes,Yes,Yes,No,Negligable,4,4,4,3,No,3,4,1,3,Yes,1,1
STU301,435,22.3678,469.0963636,7311,32.60000007,20.35181818,620.5643543,2.917667649,0.002058439,0.252302153,4.197545789,51.44256176,0.254023726,0.390120103,3.352206534,24.11528086,54.2,22.96969697,133.0909091,,Occ02,Age03,Hight06,Wieg04,Walking,Dress_150,Period_03,Yes,3,2,4,2,No,No,No,4,2,4,Yes,Yes,No,2,No,No,no,Yes,No,Yes,Yes,No,Negligable,2,4,5,1,No,3,2,4,5,Yes,3,1
STU301,445,22.5417,468.9740909,7311.818182,37.73181818,20.46363636,608.4333433,2.936809054,0.002049504,0.247245169,4.233088667,51.48655215,0.238156553,0.389671343,3.347672029,24.16509754,54.20909091,23.21212121,132.7272727,,Occ02,Age02,Hight04,Wieg06,Stall,Dress_365,Period_04,No,3,3,4,2,Yes,No,No,3,2,3,Yes,No,No,2,No,No,no,No,yes,Yes,Yes,No,LittleWindy,3,2,2,3,No,3,2,3,3,Maybe,3,1
STU301,455,22.7158,468.9586364,7311.363636,31.80000024,20.44545455,595.5286559,2.888496321,0.002049539,0.246317978,4.195740873,51.68777188,0.251316454,0.376431058,3.661986264,24.12587436,54.3,23.21212121,132,,Occ01,Age01,Hight03,Wieg01,Working,Dress_364,Period_02,Yes,3,3,4,3,Yes,No,Yes,3,2,2,Yes,Yes,No,4,No,Yes,no,Maybe,yes,Yes,Yes,No,LittleWindy,3,4,4,3,Yes,3,2,2,4,Yes,1,2
STU301,465,22.8897,468.9481818,7313.727273,35.59090961,20.35,586.6004544,2.925592206,0.00202873,0.252082961,4.222488533,51.6499613,0.264324451,0.382915701,3.26443282,24.3387619,54.3,23.6969697,131.0909091,,Occ01,Age01,Hight03,Wieg02,Walking,Dress_99,Period_04,Yes,1,3,3,3,Yes,No,No,5,1,1,Yes,Yes,Yes,2,No,Maybe,yes,Yes,yes,Maybe,Yes,Yes,LittleWindy,3,5,5,5,No,2,1,1,1,Yes,1,1
STU301,475,23.0636,468.8895455,7311,39.45454532,20.41,569.4400883,2.951009646,0.002013953,0.246868235,4.254577333,51.78195364,0.233027426,0.394209077,3.405005737,24.17755323,54.3,23.66666667,131.9090909,,Occ02,Age02,Hight04,Wieg05,Walking,Dress_364,Period_02,Yes,3,3,2,4,Yes,Yes,Yes,3,3,3,Yes,Yes,No,4,Yes,Yes,no,Maybe,yes,Yes,Yes,No,Negligable,2,4,3,3,Yes,3,2,2,4,Yes,1,2
STU301,485,23.2375,469.015,7315.181818,31.67727262,20.40363636,557.9497412,2.932370741,0.002034658,0.247631259,4.243973645,51.94528961,0.255103607,0.387268717,3.374969742,24.30313927,54.3,23.3030303,133.7272727,,Occ01,Age01,Hight03,Wieg01,Running,Dress_364,Period_02,Yes,4,4,3,2,No,No,No,3,3,3,Yes,No,No,2,No,Yes,no,No,yes,No,Yes,No,LittleWindy,1,1,2,3,Yes,1,1,4,3,Yes,5,5
STU301,495,23.4114,468.6718182,7305.727273,33.92727266,20.39181818,551.9624105,2.92921746,0.002034692,0.249300473,4.236813328,51.76313088,0.242813919,0.383367937,3.320348956,24.27465948,54.32727273,23.81818182,132.1818182,,Occ01,Age01,Hight03,Wieg02,Stall,Dress_213,Period_03,Maybe,3,3,3,3,Maybe,Maybe,No,2,2,2,Yes,Maybe,Maybe,3,Maybe,Yes,no,Maybe,No,Maybe,Yes,Maybe,Negligable,4,5,5,3,No,4,4,4,5,Maybe,5,5
STU301,505,23.5853,468.8463636,7310,37.9863636,20.38363636,530.6405936,2.963540892,0.002008025,0.24632514,4.276098164,51.88874158,0.272826486,0.383278175,3.319859938,24.39700419,54.45,23.60606061,131.4545455,,Occ01,Age01,Hight04,Wieg01,Stall,Dress_364,Period_04,No,1,4,4,4,No,No,No,3,4,3,Yes,No,No,4,No,Maybe,no,Yes,yes,Maybe,Yes,Yes,Negligable,4,4,5,2,No,2,3,2,3,Yes,2,2
STU301,515,23.7592,469.0245455,7302.909091,30.04090913,20.39363636,522.4755518,2.925535259,0.002031702,0.246686606,4.227794084,52.03949599,0.258760848,0.39180297,3.517123374,24.40160633,51.56818182,23.78787879,133,,Occ01,Age01,Hight01,Wieg05,Sleeping,Dress_364,Period_03,Yes,1,3,2,2,Yes,Maybe,No,5,3,2,Yes,Yes,Yes,2,No,Maybe,yes,Yes,No,Maybe,Yes,Yes,Negligable,1,5,5,3,No,2,1,1,1,Yes,1,1
STU301,525,23.9333,469.0477273,7299.272727,37.12272779,20.42,504.7351099,2.947810221,0.002013883,0.24741947,4.23860797,51.87618776,0.25489887,0.392436448,3.292625167,24.19197333,54.55,23.48484848,130.4545455,,Occ02,Age02,Hight04,Wieg05,Walking,Dress_192,Period_03,Yes,3,3,4,3,Yes,No,No,3,2,3,Yes,Yes,No,4,Yes,No,no,Maybe,yes,Yes,Yes,No,LittleWindy,4,5,5,4,No,3,2,2,4,Yes,1,2
STU301,535,0.1072,469.0372727,7303.454545,40.08181898,20.43272727,510.8403438,2.93969929,0.002010962,0.242632749,4.27252323,51.97033587,0.253038183,0.387358479,3.521705302,24.22163587,54.48636364,23.15151515,131.7272727,,Occ01,Age01,Hight04,Wieg06,ClimbingStairs,Dress_213,Period_03,Yes,3,3,4,4,No,No,No,4,1,1,Yes,No,No,3,No,No,no,No,No,Yes,Yes,No,LittleWindy,3,3,3,3,Yes,3,2,4,3,Maybe,2,2
STU301,545,0.2811,469.0195455,7299.909091,29.56818185,20.44454545,520.7271837,2.910474105,0.002022819,0.243574463,4.233170379,52.11483938,0.260303279,0.379007968,3.576760726,24.22247232,54.45,23.48484848,130.6363636,,Occ01,Age01,Hight04,Wieg01,Running,Dress_192,Period_03,No,2,2,4,3,No,No,No,3,2,4,Yes,No,No,1,No,No,no,Yes,yes,Yes,Yes,No,LittleWindy,4,4,4,5,No,5,3,2,4,Yes,5,3
STU301,555,0.455,468.4213636,7298,35.48181815,20.41090909,507.5575053,2.927182059,0.002005105,0.243548133,4.245768244,51.90126766,0.238761133,0.387538004,3.435150493,24.12540611,54.52272727,23.15151515,131.6363636,,Occ02,Age01,Hight03,Wieg02,Walking,Dress_364,Period_04,No,3,3,2,4,No,No,No,3,2,3,Yes,Yes,Yes,3,No,No,no,Maybe,No,Maybe,Yes,No,Negligable,4,3,4,3,No,3,5,4,3,Yes,3,3
STU301,565,0.6289,468.9809091,7304,37.39090926,20.37727273,508.0894366,2.931622765,0.002008077,0.243177622,4.270757458,52.07082436,0.26682054,0.40790508,3.461524552,24.39038173,54.55,23.75757576,133,,Occ01,Age01,Hight03,Wieg03,Running,Dress_22,Period_04,Maybe,4,3,3,3,Yes,Yes,Maybe,2,2,4,Yes,Yes,No,4,Maybe,No,no,Maybe,yes,Yes,Yes,No,LittleWindy,3,2,3,3,No,1,5,3,4,Yes,5,5
STU301,575,0.8028,468.8281818,7298.636364,26.89090902,20.38818182,478.7030406,2.908782898,0.00199942,0.243186599,4.280154835,51.96411133,0.263484565,0.382394253,3.605007453,24.18144064,54.58636364,23.21212121,133,,Occ01,Age01,Hight04,Wieg02,Running,Dress_364,Period_05,No,3,3,1,4,No,Yes,No,3,2,1,No,No,Yes,2,No,Yes,no,No,yes,No,Yes,Yes,Negligable,3,1,1,4,No,2,2,2,1,Yes,1,2
STU301,585,0.9767,468.3227273,7303.818182,35.56818161,20.40090909,475.3929983,2.898867503,0.001993318,0.240421484,4.337603092,51.46761877,0.260047825,0.345681581,3.262500871,24.12734741,54.49545455,23.18181818,133.4545455,,Occ01,Age01,Hight04,Wieg03,Sleeping,Dress_192,Period_04,Yes,3,3,3,4,No,No,No,5,2,3,Yes,No,No,3,No,No,no,No,yes,No,Yes,No,LittleWindy,5,3,3,5,No,1,1,3,5,Yes,1,3
STU301,595,1.1508,468.2590909,7304.727273,38.08636392,20.41909091,462.1376783,2.875992177,0.001984504,0.23699667,4.268941186,51.63735303,0.249603706,0.347109218,3.436813571,24.19129769,54.45,23.33333333,132,,Occ01,Age01,Hight04,Wieg01,Working,Dress_364,Period_04,No,3,3,3,3,No,No,No,3,3,4,No,No,Yes,4,No,Yes,maybe,Yes,yes,No,No,No,Negligable,1,5,4,3,No,5,4,2,2,Yes,1,1
STU301,605,1.3247,468.2022727,7304.818182,28.12272741,20.38,471.1691539,2.906835443,0.001969745,0.243740647,4.244013309,52.05827713,0.255505835,0.389761105,3.322446671,24.39216368,54.45,23.66666667,133.0909091,,Occ01,Age01,Hight03,Wieg01,Sleeping,Dress_220,Period_05,No,2,3,1,3,Yes,No,Yes,3,4,2,No,No,No,2,No,No,no,No,yes,Maybe,Yes,No,LittleWindy,3,3,3,3,Yes,4,4,2,1,Maybe,2,5
STU301,615,1.4986,468.2168182,7304.181818,35.6454542,20.40090909,452.9525589,2.940326275,0.001984504,0.240785642,4.252829075,52.03311955,0.259545508,0.387448241,3.347157652,24.41686773,54.53181818,23.42424242,133.5454545,,Occ01,Age01,Hight05,Wieg02,Stall,Dress_213,Period_05,No,3,2,2,4,Maybe,No,Maybe,2,2,4,Yes,Maybe,Yes,2,Yes,No,no,No,yes,Yes,Yes,Yes,LittleWindy,1,2,4,1,Yes,5,5,4,4,Maybe,2,4
STU301,625,1.6725,468.1995455,7304.181818,38.15000031,20.35090909,453.7220493,2.911994431,0.001990432,0.241170694,4.260007598,52.10854166,0.25230305,0.40817608,3.462419185,24.33552733,54.61363636,23.45454545,132.5454545,,Occ01,Age01,Hight02,Wieg05,Walking,Dress_364,Period_04,Yes,1,1,4,3,Yes,No,No,4,3,4,Yes,No,No,3,No,No,no,Yes,yes,Yes,Yes,No,LittleWindy,3,3,3,3,No,5,3,3,4,Maybe,1,1
STU301,635,1.8464,468.3986364,7300.181818,27.89090913,20.39272727,445.1344932,2.905197564,0.001958115,0.242268595,4.242121783,52.07716335,0.254454077,0.398924568,3.490720294,24.17318897,54.65,23.3030303,132.2727273,,Occ01,Age01,Hight04,Wieg01,ClimbingStairs,Dress_213,Period_05,No,3,3,3,3,No,No,No,3,3,2,Yes,No,Yes,4,No,No,maybe,Yes,No,No,No,No,LittleWindy,4,4,4,3,No,5,4,2,2,Yes,1,1
STU301,645,2.0203,468.9472727,7298.909091,38.98181832,20.38181818,429.6089324,2.942086029,0.001969727,0.242293934,4.272584005,52.00797723,0.271507088,0.387626002,3.51891264,24.15448972,54.65,23.15151515,133.4545455,,Occ01,Age01,Hight03,Wieg01,Working,Dress_364,Period_02,Yes,4,4,4,3,No,No,Yes,4,3,4,Yes,Yes,Yes,5,No,Yes,yes,Maybe,yes,Yes,Yes,No,LittleWindy,4,4,3,5,No,3,4,5,4,Yes,1,4
STU301,655,2.1942,468.9681818,7299,35.99545465,20.39454545,424.2399683,2.913969109,0.001981566,0.244839482,4.278010325,52.27796555,0.249806033,0.414843672,3.51975985,24.43390336,54.65,23.21212121,134.8181818,,Occ01,Age01,Hight04,Wieg02,Working,Dress_220,Period_03,Yes,3,3,2,2,Yes,No,No,3,3,4,No,Yes,No,4,No,Yes,no,Maybe,No,Yes,Yes,No,LittleWindy,4,5,4,3,No,3,2,2,4,Yes,1,2
STU301,665,2.3683,468.6868182,7301.272727,28.5636363,20.38363636,414.284341,2.910369249,0.001984504,0.243006808,4.252850359,52.24029923,0.257892996,0.408084549,3.406009132,24.49233253,54.65,23.18181818,131.7272727,,Occ01,Age01,Hight04,Wieg04,Walking,Dress_365,Period_03,No,3,3,4,3,No,No,No,3,3,5,Maybe,Yes,Yes,3,No,No,no,Maybe,yes,Maybe,Yes,No,Negligable,3,4,5,3,No,3,5,4,3,Yes,3,3
STU301,675,2.5422,468.5645455,7302.090909,37.26818168,20.42090909,403.3749407,2.936895353,0.001966965,0.240973598,4.276183779,52.23406046,0.267757041,0.405778633,3.378197041,24.55563654,54.62272727,23.42424242,131.8181818,,Occ01,Age01,Hight04,Wieg05,Working,Dress_365,Period_03,Yes,3,1,3,2,Yes,No,No,2,3,3,Yes,No,No,1,No,No,no,Yes,yes,Yes,Yes,No,LittleWindy,3,5,4,2,No,3,4,1,3,Yes,1,1
STU301,685,2.7161,468.4481818,7303,35.80000042,20.38727273,405.1365738,2.89816103,0.001949284,0.239336241,4.26183059,52.22144387,0.279547772,0.396785983,3.349515676,25.10962053,54.55,24.3030303,132.4545455,,Occ02,Age02,Hight03,Wieg05,Working,Dress_192,Period_05,Maybe,3,3,2,2,Maybe,No,No,4,2,3,Yes,Maybe,No,3,No,No,no,Yes,No,Maybe,Yes,Yes,Negligable,5,5,5,5,No,5,5,5,5,Yes,1,2
STU301,695,2.89,468.1877273,7307.545455,28.55909132,20.40181818,400.5520087,2.89989911,0.001949354,0.241161548,4.258302255,52.34700671,0.240889567,0.405405729,3.46201357,24.87934452,54.55,23.72727273,130.8181818,,Occ01,Age01,Hight05,Wieg01,Running,Dress_220,Period_03,Yes,3,3,2,4,No,No,Maybe,4,2,5,No,No,No,3,Maybe,No,no,No,yes,Yes,Yes,No,LittleWindy,3,3,3,3,No,3,2,4,3,Maybe,2,2
STU301,705,3.0639,468.1854545,7307.636364,39.16363702,20.41181818,397.0954544,2.935986632,0.001928963,0.240976325,4.27621629,52.23409341,0.272460555,0.405405729,3.321820909,24.55826162,54.55,23.27272727,132.9090909,,Occ01,Age02,Hight03,Wieg02,Walking,Dress_365,Period_05,Yes,1,3,4,3,Yes,No,No,5,5,2,Yes,Yes,Yes,2,No,No,yes,Yes,yes,Maybe,Yes,Yes,Negligable,4,4,5,4,No,2,1,1,1,Yes,1,1
STU301,715,3.2378,468.1818182,7306.090909,35.68181832,20.40272727,389.0807826,2.935061472,0.001920237,0.240615756,4.285103234,52.2591147,0.259952786,0.416880343,3.34905568,24.94966778,54.61363636,23.96969697,136.0909091,,Occ02,Age03,Hight04,Wieg05,Running,Dress_213,Period_05,Maybe,4,2,4,4,Maybe,No,No,4,4,3,Yes,Maybe,Maybe,3,No,No,no,Yes,yes,Maybe,Yes,Yes,Negligable,4,4,4,4,No,4,3,4,2,No,2,2
STU301,725,3.4119,468.1840909,7308.545455,28.49999986,20.4,381.1805096,2.915697267,0.00194054,0.240623023,4.272587819,52.48508662,0.252179668,0.41928645,3.548108383,24.6802492,54.65,23.60606061,134,,Occ01,Age01,Hight04,Wieg05,Working,Dress_364,Period_05,No,3,3,Yes,3,Maybe,No,No,3,3,4,No,No,Yes,2,No,Yes,maybe,Maybe,no,Maybe,No,No,Negligable,4,5,5,3,No,3,3,4,4,No,3,3
STU301,735,3.5858,468.19,7309,33.91818164,20.39818182,374.5528979,2.941435081,0.001928858,0.243546265,4.301373135,52.29058352,0.260481983,0.431228911,3.405060118,24.54029507,54.65,23.33333333,132.5454545,,Occ02,Age02,Hight04,Wieg05,Working,Dress_207,Period_04,Yes,1,3,Yes,4,Maybe,No,No,3,2,5,Yes,Yes,Maybe,4,No,Maybe,no,No,no,Yes,Yes,Yes,LittleWindy,4,5,5,4,No,4,5,3,5,Maybe,2,1
STU301,745,3.7597,468.1877273,7309,42.07272738,20.40545455,386.2776139,2.93255011,0.001960948,0.240979944,4.324780941,52.36586554,0.272632469,0.421877276,3.349544699,24.80051133,54.65,23.93939394,132.0909091,,Occ01,Age01,Hight04,Wieg01,Stall,Dress_364,Period_04,No,1,4,4,4,No,No,No,3,4,3,Yes,No,No,4,No,Maybe,no,Yes,yes,Maybe,Yes,Yes,Negligable,4,4,5,2,No,2,3,2,3,Yes,2,2
STU301,755,3.9336,468.2036364,7309,31.45909143,20.41090909,374.7262933,2.914874094,0.001940505,0.240631136,4.324934049,52.48510673,0.25281992,0.405498973,3.519427018,24.49939791,54.65,23.3030303,129.0909091,,Occ01,Age01,Hight04,Wieg04,Working,Dress_192,Period_03,Yes,4,4,Yes,2,No,No,No,4,5,1,Yes,Yes,Yes,5,Yes,Yes,yes,Maybe,may be,Yes,Yes,No,Negligable,5,5,5,5,No,3,4,5,4,Yes,1,4
STU301,765,4.1075,468.2404545,7308.727273,36.45454528,20.40909091,370.143229,2.925410566,0.001926096,0.243915939,4.321148786,52.47877919,0.240953158,0.424473268,3.407798399,24.16539448,54.64090909,22.90909091,131.9090909,,Occ01,Age01,Hight03,Wieg01,Working,Dress_364,Period_02,Yes,3,3,4,3,Yes,No,Yes,3,2,2,Yes,Yes,No,4,No,Yes,no,Maybe,yes,Yes,Yes,No,LittleWindy,3,4,4,3,Yes,3,2,2,4,Yes,1,2
STU301,775,4.2814,468.4677273,7307.909091,40.70454518,20.41727273,364.0502121,2.92890553,0.001934664,0.239902763,4.360854452,52.42861592,0.249554756,0.436136077,3.46372639,24.36966008,54.55,22.93939394,131.9090909,,Occ02,Age02,Hight04,Wieg05,Walking,Dress_192,Period_03,Yes,3,3,4,3,Yes,No,No,3,2,3,Yes,Yes,No,4,Yes,No,no,Maybe,yes,Yes,Yes,No,LittleWindy,4,5,5,4,No,3,2,2,4,Yes,1,2
STU301,785,4.4553,469.0577273,7307.272727,32.40454518,20.42454545,354.6547708,2.913102505,0.001946346,0.240975412,4.31583656,52.64822006,0.27334717,0.446235297,3.43238319,24.60627813,54.47727273,23.51515152,133.3636364,,Occ01,Age01,Hight04,Wieg01,Working,Dress_220,Period_02,Yes,1,1,No,1,No,No,No,5,5,3,Yes,No,No,2,No,Maybe,no,No,may be,Yes,Yes,No,Negligable,3,1,1,4,No,3,5,2,5,Yes,4,4
STU301,795,4.6294,469.0581818,7303.181818,36.23181811,20.40181818,363.7913336,2.937953802,0.001917247,0.241714623,4.313959685,52.56035094,0.267801233,0.429097297,3.375864376,24.98259093,54.43181818,23.90909091,130.7272727,,Occ01,Age01,Hight04,Wieg02,Working,Dress_213,Period_03,Yes,5,3,No,4,No,No,No,4,4,2,Maybe,No,No,4,No,No,no,Yes,no,Yes,Yes,No,LittleWindy,3,5,5,5,No,5,4,2,2,Yes,1,3
STU301,805,4.8033,468.9231818,7304,37.43636364,20.41090909,360.8672777,2.925579882,0.001920255,0.239161808,4.337357434,52.68577229,0.26266291,0.446608201,3.434690497,24.7001638,54.35,23.75757576,131.8181818,,Occ01,Age01,Hight03,Wieg03,Working,Dress_364,Period_04,Yes,3,2,Yes,3,No,No,Maybe,4,3,2,Yes,Yes,No,2,No,No,no,Yes,no,Yes,Yes,No,Negligable,4,4,4,3,No,3,2,4,5,Yes,3,1
STU301,815,4.9772,468.9972727,7304.636364,26.9863634,20.42545455,349.4299202,2.913030234,0.001917299,0.239167222,4.297701359,52.54781237,0.261136888,0.431783065,3.552588506,24.58722134,54.35,23.39393939,133.4545455,,Occ01,Age01,Hight03,Wieg01,Walking,Dress_364,Period_05,No,4,1,Maybe,1,Yes,No,Yes,4,4,4,Yes,Yes,Yes,4,Yes,Yes,maybe,Yes,may be,No,Yes,No,Negligable,4,4,4,3,No,2,1,5,3,Yes,1,1
STU301,825,5.1511,469.0695455,7303.727273,36.81818178,20.42909091,360.9931062,2.926304601,0.001923105,0.237163871,4.315900889,52.35959833,0.260024864,0.41085838,3.524459102,24.80590937,54.25909091,23.57575758,133.9090909,,Occ01,Age01,Hight04,Wieg02,Working,Dress_213,Period_03,Yes,5,3,No,4,No,No,No,4,4,2,Maybe,No,No,4,No,No,no,Yes,no,Yes,Yes,No,LittleWindy,3,5,5,5,No,5,4,2,2,Yes,1,3
STU301,835,5.325,468.9959091,7309,34.72727273,20.42454545,376.6161816,2.906859831,0.001917264,0.238985651,4.323054097,52.74848973,0.251162512,0.431598347,3.575891451,24.49402278,54.25,23.3030303,131.1818182,,Occ01,Age01,Hight03,Wieg02,Walking,Dress_364,Period_05,Yes,3,3,Maybe,2,Yes,Maybe,Maybe,3,3,3,No,Yes,No,4,Yes,Yes,no,Maybe,no,Yes,Yes,No,Negligable,5,5,5,5,No,3,2,2,4,Yes,1,2
STU301,845,5.4989,469.0804545,7306.636364,27.43636353,20.42454545,372.3106089,2.914108242,0.001943461,0.239168126,4.312097463,52.65449281,0.245935234,0.438448932,3.490720294,24.89257669,54.28636364,23.90909091,131.7272727,,Occ01,Age01,Hight04,Wieg03,Walking,Dress_192,Period_04,Yes,1,1,No,1,Yes,No,No,4,3,4,Yes,No,No,3,No,No,no,Yes,may be,Yes,Yes,No,LittleWindy,4,5,5,4,No,5,3,3,4,Maybe,1,1
STU301,855,5.6728,468.9727273,7297.181818,39.19545468,20.43272727,402.4300399,2.938570837,0.001926079,0.239337141,4.337489128,52.49764564,0.264666517,0.435947882,3.40321647,24.67783666,54.36818182,23.81818182,133.6363636,,Occ02,Age02,Hight04,Wieg06,Stall,Dress_365,Period_04,No,3,3,4,2,Yes,No,No,3,2,3,Yes,No,No,2,No,No,no,No,yes,Yes,Yes,No,LittleWindy,3,2,2,3,No,3,2,3,3,Maybe,3,1
STU301,865,5.8469,468.8936364,7307,36.29090916,20.42909091,401.6099178,2.888445941,0.001923106,0.240445824,4.339277007,52.66700641,0.258268766,0.431133968,3.433741483,24.61273782,54.44090909,23.48484848,133.1818182,,Occ02,Age02,Hight04,Wieg05,Walking,Dress_364,Period_02,Yes,3,3,2,4,Yes,Yes,Yes,3,3,3,Yes,Yes,No,4,Yes,Yes,no,Maybe,yes,Yes,Yes,No,Negligable,2,4,3,3,Yes,3,2,2,4,Yes,1,2
STU301,875,6.0208,468.6731818,7300.090909,29.77727283,20.42454545,428.0965549,2.900682839,0.001908503,0.242804373,4.335591143,52.6231034,0.243221831,0.424191839,3.491560546,24.71702196,54.48636364,23.39393939,133,,Occ01,Age01,Hight04,Wieg01,ClimbingStairs,Dress_213,Period_05,No,3,3,3,3,No,No,No,3,3,2,Yes,No,Yes,4,No,No,maybe,Yes,No,No,No,No,LittleWindy,4,4,4,3,No,5,4,2,2,Yes,1,1
STU301,885,6.1947,468.7618182,7299.818182,39.4045457,20.42909091,455.9005054,2.908400154,0.001896944,0.240431408,4.359049797,52.45992765,0.244271561,0.421599314,3.294497837,24.84087099,54.57727273,23.81818182,134.9090909,,Occ02,Age02,Hight04,Wieg04,Working,Dress_364,Period_04,No,2,3,No,2,No,No,No,2,2,2,Yes,No,Yes,2,No,No,no,No,no,No,Yes,No,LittleWindy,4,4,4,5,No,3,4,2,5,Yes,2,2
STU301,895,6.3686,468.2559091,7283.545455,37.10454521,20.40636364,486.8447442,2.876024107,0.001885491,0.24006728,4.364650336,52.74226934,0.262747371,0.441136477,3.693351529,24.56384495,54.65,23.45454545,131.3636364,,Occ01,Age01,Hight05,Wieg02,Working,Dress_192,Period_03,Yes,2,3,No,2,No,No,No,4,4,3,No,No,No,2,No,Yes,no,Yes,may be,Yes,Yes,Yes,Negligable,1,5,5,3,No,2,5,3,3,Yes,4,3
