,Mean,MCSE,StdDev,5%,50%,95%,N_Eff,N_Eff/s,R_hat
acoisola_alfa,0.00394,0.07978,0.54433,-0.83183,-0.00787,0.88742,46.55542,3.09688,1.06139
acoisola_const,-0.08799,0.08868,0.6166,-0.94281,-0.12852,0.92653,48.34724,3.21607,1.06275
acou_isol_cons,0.01474,0.04651,0.56526,-0.88445,0.02579,0.90999,147.70186,9.82518,1.0408
aSys_a1,0.02281,0.05384,0.59043,-0.94493,0.08495,0.90167,120.24473,7.99872,1.01529
aSys_a2,0.04576,0.03859,0.55656,-0.87915,0.07954,0.88805,208.05407,13.83982,1.03627
aSys_a3,-0.02492,0.0755,0.55949,-0.8928,-0.05589,0.91551,54.91132,3.65272,1.06582
aSys_cons,0.02673,0.26368,5.51918,-8.53715,-0.05128,8.6867,438.13201,29.14468,1.00573
speed_factor,-0.03584,0.07966,0.57305,-0.88065,-0.02485,0.89529,51.74511,3.4421,1.09154
metabolism_std,0.83367,0.04911,0.60566,0.12057,0.67693,2.04563,152.10113,10.11782,1.05232
latentLightlevel_sigma,0.88776,0.07068,0.63944,0.11072,0.77093,2.10685,81.84521,5.44437,1.06791
alfa_DayL[1],0.105174,0.00239401,0.0359767,0.052636,0.101236,0.168154,225.834,15.0226,1.02889
alfa_DayL[2],0.370429,0.00488052,0.0681162,0.263906,0.366628,0.489023,194.791,12.9575,1.01325
alfa_DayL[3],0.433747,0.00573599,0.0741949,0.312689,0.43616,0.552684,167.314,11.1297,1.00836
alfa_DayL[4],0.433747,0.00573599,0.0741949,0.312689,0.43616,0.552684,167.314,11.1297,1.00836
alfa_DayL[5],0.433747,0.00573599,0.0741949,0.312689,0.43616,0.552684,167.314,11.1297,1.00836
alfa_DayL[6],0.433747,0.00573599,0.0741949,0.312689,0.43616,0.552684,167.314,11.1297,1.00836
alfa_DayL[7],0.433747,0.00573599,0.0741949,0.312689,0.43616,0.552684,167.314,11.1297,1.00836
alfa_DayL[8],0.0906499,0.00247905,0.0338875,0.0436953,0.0865813,0.152632,186.856,12.4297,1.02166
alfa_DayL[9],0.433747,0.00573599,0.0741949,0.312689,0.43616,0.552684,167.314,11.1297,1.00836
alfa_DayL[10],0.433747,0.00573599,0.0741949,0.312689,0.43616,0.552684,167.314,11.1297,1.00836
alfa_DayL[11],0.433747,0.00573599,0.0741949,0.312689,0.43616,0.552684,167.314,11.1297,1.00836
alfa_DayL[12],0.433747,0.00573599,0.0741949,0.312689,0.43616,0.552684,167.314,11.1297,1.00836
alfa_DayL[13],0.433747,0.00573599,0.0741949,0.312689,0.43616,0.552684,167.314,11.1297,1.00836
alfa_DayL[14],0.433747,0.00573599,0.0741949,0.312689,0.43616,0.552684,167.314,11.1297,1.00836
alfa_DayL[15],0.433747,0.00573599,0.0741949,0.312689,0.43616,0.552684,167.314,11.1297,1.00836
alfa_DayL[16],0.433747,0.00573599,0.0741949,0.312689,0.43616,0.552684,167.314,11.1297,1.00836
alfa_DayL[17],0.433747,0.00573599,0.0741949,0.312689,0.43616,0.552684,167.314,11.1297,1.00836
alfa_DayL[18],0.0906499,0.00247905,0.0338875,0.0436953,0.0865813,0.152632,186.856,12.4297,1.02166
alfa_DayL[19],0.370429,0.00488052,0.0681162,0.263906,0.366628,0.489023,194.791,12.9575,1.01325
alfa_DayL[20],0.433747,0.00573599,0.0741949,0.312689,0.43616,0.552684,167.314,11.1297,1.00836
alfa_DayL[21],0.370429,0.00488052,0.0681162,0.263906,0.366628,0.489023,194.791,12.9575,1.01325
alfa_DayL[22],0.433747,0.00573599,0.0741949,0.312689,0.43616,0.552684,167.314,11.1297,1.00836
alfa_DayL[23],0.370429,0.00488052,0.0681162,0.263906,0.366628,0.489023,194.791,12.9575,1.01325
alfa_DayL[24],0.370429,0.00488052,0.0681162,0.263906,0.366628,0.489023,194.791,12.9575,1.01325
alfa_DayL[25],0.370429,0.00488052,0.0681162,0.263906,0.366628,0.489023,194.791,12.9575,1.01325
alfa_DayL[26],0.370429,0.00488052,0.0681162,0.263906,0.366628,0.489023,194.791,12.9575,1.01325
alfa_DayL[27],0.433747,0.00573599,0.0741949,0.312689,0.43616,0.552684,167.314,11.1297,1.00836
alfa_DayL[28],0.0906499,0.00247905,0.0338875,0.0436953,0.0865813,0.152632,186.856,12.4297,1.02166
alfa_DayL[29],0.0906499,0.00247905,0.0338875,0.0436953,0.0865813,0.152632,186.856,12.4297,1.02166
alfa_DayL[30],0.370429,0.00488052,0.0681162,0.263906,0.366628,0.489023,194.791,12.9575,1.01325
alfa_DayL[31],0.370429,0.00488052,0.0681162,0.263906,0.366628,0.489023,194.791,12.9575,1.01325
alfa_DayL[32],0.370429,0.00488052,0.0681162,0.263906,0.366628,0.489023,194.791,12.9575,1.01325
alfa_DayL[33],0.0906499,0.00247905,0.0338875,0.0436953,0.0865813,0.152632,186.856,12.4297,1.02166
alfa_DayL[34],0.433747,0.00573599,0.0741949,0.312689,0.43616,0.552684,167.314,11.1297,1.00836
alfa_DayL[35],0.370429,0.00488052,0.0681162,0.263906,0.366628,0.489023,194.791,12.9575,1.01325
alfa_DayL[36],0.433747,0.00573599,0.0741949,0.312689,0.43616,0.552684,167.314,11.1297,1.00836
alfa_DayL[37],0.0906499,0.00247905,0.0338875,0.0436953,0.0865813,0.152632,186.856,12.4297,1.02166
alfa_DayL[38],0.433747,0.00573599,0.0741949,0.312689,0.43616,0.552684,167.314,11.1297,1.00836
alfa_DayL[39],0.370429,0.00488052,0.0681162,0.263906,0.366628,0.489023,194.791,12.9575,1.01325
