,Mean,MCSE,StdDev,5%,50%,95%,N_Eff,N_Eff/s,R_hat
acou_isolation[16],13.6353,2.83597,4.03176,8.96182,12.7242,20.2894,2.02109,0.0258554,12.384
acou_isolation[17],11.5333,3.11097,4.44941,5.62976,11.4616,18.5578,2.04557,0.0261685,10.8283
acou_isolation[18],12.6978,3.54178,5.03446,7.6396,12.7765,21.3243,2.02052,0.0258481,14.8977
acou_isolation[19],12.5105,3.2386,4.61486,6.63133,12.6496,20.4201,2.0305,0.0259757,13.6393
acou_isolation[20],11.9293,2.97818,4.23067,7.51923,10.4873,19.0538,2.01798,0.0258156,13.7973
acou_isolation[21],12.8898,3.47724,4.97125,6.30794,14.1975,20.4235,2.04392,0.0261474,10.5966
acou_isolation[22],13.8398,3.48589,4.94933,9.14543,13.2547,22.2486,2.01589,0.0257888,15.7213
acou_isolation[23],13.5091,4.69688,6.66723,5.60946,12.6931,24.3645,2.01498,0.0257773,17.4781
acou_isolation[24],12.4864,3.45357,4.97294,6.09417,11.4259,21.0015,2.07343,0.0265249,7.54851
acou_isolation[25],12.9912,3.66865,5.21376,8.94199,10.2855,22.0832,2.01971,0.0258377,14.4282
acou_isolation[26],12.4219,3.29349,4.6776,8.01104,10.7432,20.6603,2.01713,0.0258047,15.1813
acou_isolation[27],13.6935,2.91463,4.15573,10.1115,11.5796,21.3141,2.03296,0.0260073,9.35392
acou_isolation[28],12.6134,3.72025,5.28217,8.35656,10.6984,22.0406,2.01595,0.0257897,18.9893
acou_isolation[29],12.6354,2.99623,4.26406,8.94227,11.0753,20.1826,2.02533,0.0259097,11.0408
acou_isolation[30],-0.687634,0.900305,1.30688,-2.68194,-0.582286,1.22804,2.10713,0.0269561,5.97653
acou_isolation[31],12.7894,4.13277,5.86264,5.72122,12.4289,22.1572,2.01235,0.0257436,19.0743
acou_isolation[32],12.7094,3.62206,5.14586,7.64189,12.8156,21.4505,2.01838,0.0258208,15.0967
acou_isolation[33],13.2444,3.6609,5.19437,8.79971,11.5616,22.1407,2.01321,0.0257546,19.5794
acou_isolation[34],13.5923,3.36597,4.80423,8.90685,11.3749,22.2619,2.03717,0.0260611,12.3062
acou_isolation[35],12.683,3.30033,4.72717,7.79584,10.913,21.5227,2.05158,0.0262454,10.6363
acou_isolation[36],12.4972,3.60971,5.12914,8.59129,9.89584,21.7614,2.01904,0.0258291,18.1284
acou_isolation[37],-0.214655,0.387343,0.842007,-1.59707,-0.0712396,0.991813,4.72542,0.0604513,1.46387
acou_isolation[38],12.3605,3.58517,5.11934,7.22533,12.3825,21.2406,2.03895,0.0260839,14.163
acou_isolation[39],12.3488,3.63724,5.2067,7.66488,10.0525,21.3824,2.04919,0.0262149,8.74775
acou_isolation[40],12.0078,3.48713,4.99731,7.40223,9.83191,20.9324,2.0537,0.0262726,10.0704
acou_isolation[41],13.2235,3.58812,5.10045,7.08711,14.5092,21.724,2.02061,0.0258493,15.3041
acou_isolation[42],13.0739,3.78831,5.39537,8.17218,10.5588,22.4679,2.02839,0.0259488,13.0473
acou_isolation[43],13.6438,3.10147,4.40029,9.17159,11.9697,21.132,2.01293,0.025751,18.4845
acou_isolation[44],-0.115435,1.24745,1.78335,-2.97881,0.282191,2.25461,2.04376,0.0261455,8.55883
acou_isolation[45],-0.826461,0.193809,0.351627,-1.43048,-0.758868,-0.292958,3.29168,0.0421098,1.89136
acou_isolation[46],13.808,3.32071,4.75122,9.15773,11.568,22.7301,2.04714,0.0261887,11.3431
acou_isolation[47],-0.465009,0.469302,0.705222,-1.32967,-0.611374,0.762507,2.25812,0.0288876,4.06972
acou_isolation[48],13.23,3.03327,4.36909,7.80711,13.3424,20.2861,2.07472,0.0265414,8.9372
acou_isolation[49],12.877,3.15908,4.5144,7.9042,12.36,20.4064,2.0421,0.0261242,10.5869
